Protein IDs	173.1	173.2	173.3	173.4	173L.1	173L.2	173S.1	173S.2	173S.3	173S.4	178.1	178.2	178.3	178.4	178L.1	178L.2	178S.1	178S.2	178S.3	178S.4	275.1	275.2	275.3	275.4	275L.1	275L.2	275S.1	275S.2	275S.3	275S.4	282.1	282.2	282.3	282.4	288.1	288.2	288.3	288.4	575.1	575.2	575.3	575.4
LdBPK_020012400	40496000	0	36286000	56612000	41421000	45384000	63121000	23304000	33871000	39497000	22393000	24043000	37059000	36101000	38508000	26574000	21100000	0	0	0	24641000	27267000	59464000	41432000	55224000	60295000	19580000	0	17784000	0	22481000	29943000	25096000	23397000	29908000	21599000	42477000	23966000	27670000	40906000	33332000	25679000
LdBPK_030005200	97803000	82844000	66770000	85793000	104370000	95595000	73307000	68830000	24273000	64997000	109360000	99412000	121730000	91996000	101820000	76815000	51675000	35252000	0	42526000	60585000	83441000	91424000	77030000	87248000	103780000	43618000	27274000	55965000	46354000	62853000	102230000	68915000	81282000	119110000	122040000	79968000	103690000	70278000	115400000	83050000	97395000
LdBPK_030005300	171750000	109970000	138780000	157860000	143910000	186440000	143510000	167140000	168190000	153410000	112490000	110120000	92610000	77243000	114190000	95881000	112930000	94928000	93652000	122530000	61371000	106090000	120140000	125400000	121630000	115840000	94258000	68180000	105150000	136610000	89177000	59912000	53576000	68991000	90479000	89068000	119810000	91418000	139510000	135920000	164640000	139560000
LdBPK_030005400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5930600	0	0
LdBPK_030006100	0	0	0	0	0	0	0	0	0	0	0	12665000	0	0	8952000	0	0	0	0	0	18204000	0	0	0	8384100	0	0	0	0	0	0	7784400	0	0	0	0	0	0	0	0	0	0
LdBPK_030006200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27152000	32513000	0	39305000	214710000	74500000	0	22389000	0	0	0	0	0	0	40371000	48544000	0	0	0
LdBPK_030006300	0	0	0	0	0	0	0	0	8983200	0	0	0	0	0	0	0	20701000	0	0	0	0	0	0	0	0	9730600	9054100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_030006400	27165000	34851000	23668000	16488000	30123000	26655000	31643000	21053000	13985000	25339000	38455000	38869000	35146000	36162000	24193000	26867000	25168000	35650000	41783000	23308000	31958000	28104000	32091000	19446000	0	0	16444000	18613000	15831000	19131000	29383000	23755000	29227000	0	30148000	50972000	30619000	30101000	28312000	36082000	28625000	49837000
LdBPK_030006700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29298000	0	0	0	0
LdBPK_030006800	1014800000	908490000	1120500000	1006500000	855500000	1081900000	573910000	858060000	782660000	713940000	1151200000	1004700000	1330600000	1261000000	1094900000	1155000000	848270000	702460000	883950000	809960000	839430000	885150000	811940000	922880000	785090000	783910000	540570000	852970000	742600000	721400000	992370000	690080000	989270000	968030000	931490000	1118300000	1115000000	1087200000	970520000	974780000	1091600000	986460000
LdBPK_030007000	0	0	0	0	0	0	0	0	0	8405200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_030007100	87022000	177280000	158440000	118820000	116750000	138860000	162890000	122430000	138360000	102970000	150050000	126860000	131040000	172620000	124780000	121910000	113600000	126650000	155430000	99762000	142400000	178880000	151010000	134080000	142050000	117930000	132390000	188080000	162370000	132000000	131690000	126740000	138950000	150990000	85240000	79450000	101640000	80046000	188920000	153920000	197580000	142140000
LdBPK_030007200	0	0	0	0	0	0	0	0	0	0	0	0	8127900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_030007500	0	70392000	0	85744000	65448000	70910000	62393000	98692000	119740000	86207000	96487000	59306000	0	95931000	0	0	0	71261000	57951000	79777000	0	0	0	0	0	54450000	67034000	0	85724000	77209000	0	54278000	0	0	78817000	81046000	79971000	94015000	0	82209000	0	0
LdBPK_030008700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6904900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
